-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.100
-183.800, 80.201, -0.034,  0.200
-183.800, 80.202, -0.014,  0.300
-183.800, 80.202, -0.007,  0.400
-183.800, 80.202, 0.005,  0.500
-183.800, 80.200, 0.033,  0.600
-183.800, 80.182, 0.278,  0.700
-183.798, 80.135, 0.582,  0.800
-183.796, 80.053, 0.948,  0.900
-183.792, 79.934, 1.318,  1.000
-183.787, 79.786, 1.585,  1.100
-183.781, 79.611, 1.860,  1.200
-183.774, 79.410, 2.113,  1.300
-183.766, 79.190, 2.266,  1.400
-183.756, 78.959, 2.364,  1.500
-183.747, 78.719, 2.443,  1.600
-183.738, 78.472, 2.507,  1.700
-183.727, 78.219, 2.553,  1.800
-183.716, 77.963, 2.583,  1.900
-183.706, 77.704, 2.602,  2.000
-183.695, 77.444, 2.611,  2.100
-183.684, 77.183, 2.612,  2.200
-183.673, 76.923, 2.606,  2.300
-183.662, 76.663, 2.597,  2.400
-183.652, 76.405, 2.586,  2.500
-183.641, 76.147, 2.572,  2.600
-183.630, 75.891, 2.555,  2.700
-183.620, 75.637, 2.539,  2.800
-183.610, 75.384, 2.525,  2.900
-183.601, 75.133, 2.510,  3.000
-183.591, 74.883, 2.495,  3.100
-183.582, 74.634, 2.483,  3.200
-183.573, 74.387, 2.473,  3.300
-183.564, 74.140, 2.464,  3.400
-183.555, 73.894, 2.456,  3.500
-183.547, 73.649, 2.451,  3.600
-183.539, 73.404, 2.450,  3.700
-183.531, 73.159, 2.449,  3.800
-183.523, 72.914, 2.449,  3.900
-183.516, 72.669, 2.452,  4.000
-183.509, 72.424, 2.458,  4.100
-183.502, 72.178, 2.465,  4.200
-183.494, 71.931, 2.472,  4.300
-183.488, 71.683, 2.482,  4.400
-183.482, 71.434, 2.494,  4.500
-183.476, 71.184, 2.508,  4.600
-183.469, 70.933, 2.521,  4.700
-183.462, 70.680, 2.534,  4.800
-183.457, 70.426, 2.550,  4.900
-183.451, 70.170, 2.569,  5.000
-183.445, 69.912, 2.588,  5.100
-183.439, 69.652, 2.606,  5.200
-183.434, 69.390, 2.627,  5.300
-183.429, 69.126, 2.650,  5.400
-183.424, 68.860, 2.672,  5.500
-183.419, 68.591, 2.696,  5.600
-183.415, 68.320, 2.722,  5.700
-183.411, 68.046, 2.747,  5.800
-183.406, 67.770, 2.772,  5.900
-183.402, 67.491, 2.798,  6.000
-183.398, 67.210, 2.826,  6.100
-183.394, 66.926, 2.853,  6.200
-183.390, 66.639, 2.880,  6.300
-183.386, 66.350, 2.906,  6.400
-183.381, 66.058, 2.931,  6.500
-183.377, 65.763, 2.956,  6.600
-183.373, 65.466, 2.984,  6.700
-183.369, 65.166, 3.014,  6.800
-183.365, 64.863, 3.044,  6.900
-183.360, 64.557, 3.072,  7.000
-183.357, 64.248, 3.103,  7.100
-183.353, 63.935, 3.135,  7.200
-183.348, 63.620, 3.167,  7.300
-183.345, 63.301, 3.200,  7.400
-183.342, 62.979, 3.235,  7.500
-183.338, 62.654, 3.269,  7.600
-183.335, 62.325, 3.303,  7.700
-183.332, 61.993, 3.339,  7.800
-183.329, 61.657, 3.374,  7.900
-183.325, 61.317, 3.408,  8.000
-183.322, 60.975, 3.443,  8.100
-183.319, 60.628, 3.479,  8.200
-183.315, 60.278, 3.515,  8.300
-183.312, 59.924, 3.552,  8.400
-183.309, 59.567, 3.590,  8.500
-183.306, 59.206, 3.627,  8.600
-183.303, 58.841, 3.665,  8.700
-183.300, 58.472, 3.704,  8.800
-183.299, 58.099, 3.745,  8.900
-183.297, 57.722, 3.786,  9.000
-183.294, 57.341, 3.826,  9.100
-183.293, 56.957, 3.866,  9.200
-183.291, 56.568, 3.907,  9.300
-183.288, 56.175, 3.946,  9.400
-183.287, 55.778, 3.986,  9.500
-183.285, 55.377, 4.027,  9.600
-183.283, 54.972, 4.066,  9.700
-183.281, 54.563, 4.104,  9.800
-183.279, 54.150, 4.142,  9.900
-183.278, 53.734, 4.181, 10.000
-183.277, 53.313, 4.220, 10.100
-183.275, 52.889, 4.258, 10.200
-183.274, 52.461, 4.296, 10.300
-183.272, 52.029, 4.335, 10.400
-183.271, 51.594, 4.375, 10.500
-183.270, 51.154, 4.415, 10.600
-183.268, 50.710, 4.456, 10.700
-183.267, 50.262, 4.496, 10.800
-183.266, 49.810, 4.538, 10.900
-183.265, 49.354, 4.580, 11.000
-183.264, 48.893, 4.624, 11.100
-183.264, 48.428, 4.668, 11.200
-183.264, 47.959, 4.713, 11.300
-183.262, 47.485, 4.757, 11.400
-183.261, 47.006, 4.803, 11.500
-183.260, 46.523, 4.849, 11.600
-183.260, 46.036, 4.896, 11.700
-183.259, 45.543, 4.944, 11.800
-183.258, 45.046, 4.992, 11.900
-183.258, 44.544, 5.042, 12.000
-183.258, 44.037, 5.092, 12.100
-183.257, 43.527, 5.088, 12.200
-183.258, 43.022, 5.044, 12.300
-183.258, 42.518, 5.043, 12.400
-183.257, 42.012, 5.084, 12.500
-183.256, 41.499, 5.156, 12.600
-183.255, 40.978, 5.243, 12.700
-183.255, 40.448, 5.336, 12.800
-183.253, 39.908, 5.427, 12.900
-183.253, 39.361, 5.513, 13.000
-183.251, 38.804, 5.594, 13.100
-183.250, 38.241, 5.670, 13.200
-183.248, 37.669, 5.742, 13.300
-183.247, 37.091, 5.811, 13.400
-183.247, 36.506, 5.878, 13.500
-183.246, 35.915, 5.944, 13.600
-183.246, 35.316, 6.009, 13.700
-183.244, 34.712, 6.073, 13.800
-183.244, 34.101, 6.136, 13.900
-183.242, 33.484, 6.198, 14.000
-183.241, 32.860, 6.261, 14.100
-183.238, 32.231, 6.323, 14.200
-183.236, 31.595, 6.386, 14.300
-183.236, 30.952, 6.450, 14.400
-183.235, 30.303, 6.517, 14.500
-183.236, 29.648, 6.584, 14.600
-183.235, 28.985, 6.652, 14.700
-183.235, 28.316, 6.719, 14.800
-183.236, 27.640, 6.787, 14.900
-183.235, 26.958, 6.855, 15.000
-183.235, 26.268, 6.923, 15.100
-183.233, 25.572, 6.990, 15.200
-183.232, 24.869, 7.057, 15.300
-183.231, 24.159, 7.124, 15.400
-183.229, 23.443, 7.193, 15.500
-183.227, 22.720, 7.262, 15.600
-183.226, 21.989, 7.333, 15.700
-183.223, 21.252, 7.405, 15.800
-183.220, 20.507, 7.478, 15.900
-183.218, 19.755, 7.552, 16.000
-183.214, 18.996, 7.626, 16.100
-183.211, 18.229, 7.700, 16.200
-183.207, 17.454, 7.775, 16.300
-183.205, 16.672, 7.851, 16.400
-183.204, 15.882, 7.930, 16.500
-183.202, 15.085, 8.009, 16.600
